index,Place_name,Address1,Hours,Phone,Location,Reviewscount,Total_score,website,Category,Claimed,Latitude,Longitude,Place_id,Cid,Featured_Image,reviewurl,emails,instagram,facebook,twitter,linkedin,youtube
11,"S-J Dental Clinic (Owner)","Brgy, Maharlika Highway, Corner Bougainvilla street, Tuguegarao City, 3500 Cagayan","Saturday: 9 AM–5 PM, Sunday: 9 AM–5 PM, Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM","0961 953 3552","https://www.google.com/maps?cid=0x33858537b89f3a97:0x5fb3559f6d5def78",4,5,"","Dental clinic","yes",17.608227,121.75099069999999,"ChIJlzqfuDeFhTMReO9dbZ9Vs18","0x33858537b89f3a97:0x5fb3559f6d5def78","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSovKl58jkpukME6baqibwckh7ye5uSz-Lii8KyPJCrd5gMViFga5ey3iDtno0zwY9WVUlbVrRbPd24D4nbg5QHagfJpTQflokJKRgk8EHWbopp7kynOrWqFbKI8CCxS3bl9JhFyd22yiK=w80-h142-k-no","https://search.google.com/local/reviews?placeid=ChIJlzqfuDeFhTMReO9dbZ9Vs18&q=DENTAL+Tuguegarao+City,+Cagayan&authuser=0&hl=en&gl=PH","","","","","",""
12,"Arellano Dental Clinic (Owner)","Level 2, Robinsons Place Tuguegarao, Tuguegarao City, Cagayan","Saturday: 10 AM–9 PM, Sunday: 10 AM–9 PM, Monday: 10 AM–9 PM, Tuesday: 10 AM–9 PM, Wednesday: 10 AM–9 PM, Thursday: 10 AM–9 PM, Friday: 10 AM–9 PM","0966 772 0732","https://www.google.com/maps?cid=0x3385851305245b97:0x795e93e15b34f4a9",2,3,"","Dental clinic","no",17.6279175,121.73325159999999,"ChIJl1skBROFhTMRqfQ0W-GTXnk","0x3385851305245b97:0x795e93e15b34f4a9","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFY7i5tRWt0S5Wnc3qTqfDEbzAOIEaPh0AkuS3b1iy_a3KZaIDVfn41b0qHKWeY399iU9OyJVJpQIm1P1hQyHyi3dsEL8VUsq4SLvk5qSfeet0HMA6Ym2cptTgXz4itztBHjWFWnSoLp9Lz=w80-h106-k-no","https://search.google.com/local/reviews?placeid=ChIJl1skBROFhTMRqfQ0W-GTXnk&q=DENTAL+Tuguegarao+City,+Cagayan&authuser=0&hl=en&gl=PH","","","","","",""
13,"Cortina Dental Clinic - Tuguegarao City (Owner)","C-Fourth Enterprises Bldg, 68 Balzain Hwy, Centro 12 (Pob.), Tuguegarao City, 3500 Cagayan","Saturday: 9 AM–6 PM, Sunday: Closed, Monday: 9 AM–6 PM, Tuesday: 9 AM–6 PM, Wednesday: 9 AM–6 PM, Thursday: 9 AM–6 PM, Friday: 9 AM–6 PM","0917 192 2328","https://www.google.com/maps?cid=0x338585f78a8a57cf:0xd957cefe3411790d",1,5,"facebook.com","Dentist,Dental clinic","yes",17.6208433,121.72938979999999,"ChIJz1eKiveFhTMRDXkRNP7OV9k","0x338585f78a8a57cf:0xd957cefe3411790d","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFCBpuHBLk_WIsDBFJXwzMQivb-BoWm0beHciDku__4U83Cjv1x6ZQb8V9VkQvfS74mYI5_CUiiIbPy50_eOxOn4c3eFtVjjAKenjHx2LSZiSkrMKCopa4ZWmgLgq0KDN6bgDSS=w163-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJz1eKiveFhTMRDXkRNP7OV9k&q=DENTAL+Tuguegarao+City,+Cagayan&authuser=0&hl=en&gl=PH","","","","","",""
14,"Toothxie Dental Care Clinic - Tuguegarao Branch (Owner)","National Highway Tanza, Tuguegarao City, 3500 Cagayan","Saturday: 8 AM–5 AM, Sunday: Closed, Monday: Closed, Tuesday: Closed, Wednesday: Closed, Thursday: 8 AM–5 AM, Friday: Closed","0995 938 9023","https://www.google.com/maps?cid=0x3385854bd98e5cbd:0x91711efa2fdd5163",1,1,"","Dental clinic","no",17.628774,121.7379563,"ChIJvVyO2UuFhTMRY1HdL_oecZE","0x3385854bd98e5cbd:0x91711efa2fdd5163","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d9RjW8hak-TShXYQwBWLxg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=155.3603&pitch=0&thumbfov=100","https://search.google.com/local/reviews?placeid=ChIJvVyO2UuFhTMRY1HdL_oecZE&q=DENTAL+Tuguegarao+City,+Cagayan&authuser=0&hl=en&gl=PH","","","","","",""
15,"Malana Dental Clinic (Owner)","51 Caritan Hwy, Tuguegarao City, 3500 Cagayan","Saturday: 9 AM–7 PM, Sunday: 10 AM–7 PM, Monday: Closed, Tuesday: 10 AM–7 PM, Wednesday: 10 AM–7 PM, Thursday: 10 AM–7 PM, Friday: 10 AM–7 PM","0955 775 3213","https://www.google.com/maps?cid=0x3385853d32dfbbcb:0x42449bb40a74ab8d",2,5,"","Dental clinic","yes",17.6203841,121.7254959,"ChIJy7vfMj2FhTMRjat0CrSbREI","0x3385853d32dfbbcb:0x42449bb40a74ab8d","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF3SlMw1yaxFND0Wpu6cHPuUaS1eYimYo30-2tHQswh5rDoGdBo6nRk3sIFNG_dFWL-vny1y-iRk0hP5RVDfAeBZYQWULE-OVFsuItLAoZ1ECWzvkJcXVtayvmStR6iRaQMVNcxNcMmU_0=w80-h173-k-no","https://search.google.com/local/reviews?placeid=ChIJy7vfMj2FhTMRjat0CrSbREI&q=DENTAL+Tuguegarao+City,+Cagayan&authuser=0&hl=en&gl=PH","","","","","",""
16,"Irmalyn Marayag Tapitan Dental Clinic (Owner)","06 Blumentritt St, Centro 04, Tuguegarao City, 3500 Cagayan","Saturday: 8 AM–6 PM, Sunday: 9 AM–3 PM, Monday: 8 AM–6 PM, Tuesday: 8 AM–6 PM, Wednesday: 8 AM–6 PM, Thursday: 8 AM–6 PM, Friday: 8 AM–6 PM","0917 347 0987","https://www.google.com/maps?cid=0x3385842d097be1cd:0x56defd5e391077fe",18,4.6,"","Dentist","yes",17.615498499999998,121.72911169999999,"ChIJzeF7CS2EhTMR_ncQOV793lY","0x3385842d097be1cd:0x56defd5e391077fe","","https://search.google.com/local/reviews?placeid=ChIJzeF7CS2EhTMR_ncQOV793lY&q=DENTAL+Tuguegarao+City,+Cagayan&authuser=0&hl=en&gl=PH","","","","","",""
17,"Uy Dental Clinic SM City Tuguegarao (Owner)","Level 2, SM City Tuguegarao, Tuguegarao City, Cagayan","Saturday: 10 AM–6 PM, Sunday: 10 AM–6 PM, Monday: 10 AM–6 PM, Tuesday: 10 AM–6 PM, Wednesday: 10 AM–6 PM, Thursday: 10 AM–6 PM, Friday: 10 AM–6 PM","0917 126 9811","https://www.google.com/maps?cid=0x3385873a21439285:0xfd4f3c8d811ae014",2,3.5,"","Dental clinic","yes",17.6281326,121.71785159999999,"ChIJhZJDITqHhTMRFOAagY08T_0","0x3385873a21439285:0xfd4f3c8d811ae014","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vCcFvN9XiH4F2DAawwnrRg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=50.8509&pitch=0&thumbfov=100","https://search.google.com/local/reviews?placeid=ChIJhZJDITqHhTMRFOAagY08T_0&q=DENTAL+Tuguegarao+City,+Cagayan&authuser=0&hl=en&gl=PH","","","","","",""
18,"Your Friendly Dental Clinic (Owner)","JQX4+VCG, Ronald P. Guzman Medical Center, Enrile Boulevard, Carig Sur, Tuguegarao City, Cagayan, Tuguegarao City","","(078) 373 0585","https://www.google.com/maps?cid=0x33858585d65455d5:0x4bc72b4a2b9ba783","","","","Dentist","no",17.649696,121.75606699999999,"ChIJ1VVU1oWFhTMRg6ebK0orx0s","0x33858585d65455d5:0x4bc72b4a2b9ba783","","","","","","","",""
19,"Villaroza Dental Clinic-Tuguegarao City (Owner)","in front of PLDT, Balzain Hwy, Tuguegarao City, 3500 Cagayan","Saturday: 9 AM–5 PM, Sunday: Closed, Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM","0915 094 8927","https://www.google.com/maps?cid=0x3385854b171055db:0xdb988b7530b2dc02",11,4.5,"","Orthodontist","yes",17.6188905,121.7287834,"ChIJ21UQF0uFhTMRAtyyMHWLmNs","0x3385854b171055db:0xdb988b7530b2dc02","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IdMs3ZYS5NFbM3wbtl-pzQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=114.4805&pitch=0&thumbfov=100","https://search.google.com/local/reviews?placeid=ChIJ21UQF0uFhTMRAtyyMHWLmNs&q=DENTAL+Tuguegarao+City,+Cagayan&authuser=0&hl=en&gl=PH","","","","","",""
20,"ABG DENTAL CLINIC (Owner)","JQV5+GF9, National Highway, Tuguegarao City, Cagayan","Saturday: 9 AM–5 PM, Sunday: 9 AM–5 PM, Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM","0917 770 6028","https://www.google.com/maps?cid=0x338585007382e125:0xee18f7e91073876","","","","Dental clinic","no",17.6437767,121.7587217,"ChIJJeGCcwCFhTMRdjgHkX6P4Q4","0x338585007382e125:0xee18f7e91073876","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNsBQSHVlNajtHGggrhe7rFlke7oJ_Grj6unoQVzQd_SqqFJ6EK9XaI1N10Vs4oOEmyc2gnl61zQ51nZfzqKmWH8dxTeNk2KBamlFt2_d-iCm2kpT4N6_7tEqY4EXwf3bP3oIY=w80-h106-k-no","","","","","","",""
